,,,,,RF_distance,RF_distance,RF_distance,MP_time,MP_time,MP_time,Total_time,Total_time,Total_time,CPU_time,CPU_time,CPU_time,CPU_usage,CPU_usage,CPU_usage
,,,,,rep1,rep2,rep3,rep1,rep2,rep3,rep1,rep2,rep3,rep1,rep2,rep3,rep1,rep2,rep3
mpboot,50,10000,0.1,equal,0,0,0.0,00:00:19,00:00:19,0.0,00:07:41,00:07:43,0.0,22931.640000000003,23011.36,0.0,4965%,4964%,0.0
mpboot,50,10000,0.1,mammal,0,0,0.0,00:00:20,00:00:20,0.0,00:05:23,00:05:31,0.0,16023.710000000001,16390.68,0.0,4944%,4945%,0.0
mpboot,50,10000,1.0,equal,0,0,0.0,00:00:26,00:00:26,0.0,00:06:41,00:06:30,0.0,19880.8,19342.9,0.0,4946%,4945%,0.0
mpboot,50,10000,1.0,mammal,4,4,0.0,00:00:25,00:00:25,0.0,00:18:42,00:16:26,0.0,55912.62,49137.82,0.0,4980%,4978%,0.0
mpboot,50,100000,0.1,equal,0,0,0.0,00:05:36,00:06:22,0.0,00:32:29,00:32:59,0.0,95502.05,96379.61,0.0,4897%,4869%,0.0
mpboot,50,100000,0.1,mammal,0,0,0.0,00:06:36,00:08:28,0.0,01:05:10,01:38:19,0.0,192263.19,290089.9,0.0,4916%,4917%,0.0
mpboot,50,100000,1.0,equal,0,0,0.0,00:07:16,00:12:23,0.0,00:57:12,01:03:17,0.0,168059.45,185982.49,0.0,4896%,4896%,0.0
mpboot,50,100000,1.0,mammal,4,4,0.0,00:07:13,00:08:15,0.0,02:13:52,01:56:37,0.0,394591.19,343127.86,0.0,4912%,4903%,0.0
mpboot,200,10000,0.1,equal,0,0,0.0,00:03:44,00:03:45,0.0,00:44:56,00:44:38,0.0,133116.85,132239.79,0.0,4935%,4936%,0.0
mpboot,200,10000,0.1,mammal,6,6,0.0,00:03:16,00:03:18,0.0,01:04:59,01:02:59,0.0,193141.58,187114.86000000002,0.0,4952%,4950%,0.0
mpboot,200,10000,1.0,equal,6,6,0.0,00:04:29,00:04:29,0.0,00:40:30,00:44:46,0.0,119594.76000000001,132303.24,0.0,4919%,4924%,0.0
mpboot,200,10000,1.0,mammal,12,12,0.0,00:04:12,00:04:10,0.0,00:54:02,00:55:04,0.0,159989.81,163201.65,0.0,4933%,4938%,0.0
mpboot,200,100000,0.1,equal,2,2,0.0,01:19:51,02:08:14,0.0,08:08:59,09:34:12,0.0,1398871.02,1635854.32,0.0,4767%,4748%,0.0
mpboot,200,100000,0.1,mammal,6,6,0.0,01:21:08,02:22:53,0.0,11:00:11,13:19:00,0.0,1892971.82,2280004.33,0.0,4778%,4755%,0.0
mpboot,200,100000,1.0,equal,0,0,0.0,01:30:27,02:30:21,0.0,06:06:18,07:33:56,0.0,1053028.1800000002,1305790.23,0.0,4791%,4794%,0.0
mpboot,200,100000,1.0,mammal,4,4,0.0,02:04:17,02:23:20,0.0,13:47:38,14:48:25,0.0,2388806.14,2554241.46,0.0,4810%,4791%,0.0
lvb,50,10000,0.1,equal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lvb,50,10000,0.1,mammal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
